first,dist,last,hits
a,-5,a,6786
a,-5,o,1125
a,-5,li,928
a,-5,ni,700
a,-5,mi,410
a,-5,pona,223
a,-5,lon,207
a,-5,jan,182
a,-5,la,170
a,-5,mute,159
a,-5,e,154
a,-5,kama,121
a,-5,ala,117
a,-5,toki,114
a,-5,musi,111
a,-5,tawa,111
a,-5,sona,103
a,-5,ale,98
a,-5,ma,97
a,-5,pi,78
a,-5,sin,59
a,-5,ona,56
a,-5,ike,49
a,-5,kalama,47
a,-5,sitelen,42
a,-5,sina,41
a,-4,a,11368
a,-4,ni,3074
a,-4,li,2984
a,-4,mi,1866
a,-4,pona,1584
a,-4,ken,1165
a,-4,toki,1125
a,-4,e,968
a,-4,sina,702
a,-4,la,696
a,-4,lon,669
a,-4,tawa,665
a,-4,ona,665
a,-4,sona,636
a,-4,mute,505
a,-4,jan,467
a,-4,ala,438
a,-4,musi,438
a,-4,o,432
a,-4,ale,321
a,-4,sin,250
a,-4,tenpo,245
a,-4,nasa,218
a,-4,anu,215
a,-4,pi,203
a,-4,sitelen,194
a,-4,lawa,181
a,-4,ike,172
a,-4,tan,152
a,-4,seme,114
a,-4,tu,56
a,-4,mu,51
a,-4,sama,50
a,-4,wile,49
a,-4,pilin,47
a,-4,nasin,47
a,-4,lili,45
a,-4,kepeken,45
a,-4,mama,43
a,-4,kama,42
a,-4,ma,41
a,-4,suwi,41
a,-3,a,22035
a,-3,li,11494
a,-3,o,9246
a,-3,ni,8429
a,-3,mi,7797
a,-3,pona,4426
a,-3,lon,4112
a,-3,e,4104
a,-3,ona,2886
a,-3,sina,2829
a,-3,mute,2702
a,-3,ala,2005
a,-3,toki,1997
a,-3,tawa,1787
a,-3,ale,1242
a,-3,sona,1095
a,-3,pi,915
a,-3,musi,915
a,-3,ike,774
a,-3,nasa,773
a,-3,tenpo,761
a,-3,seme,736
a,-3,pilin,684
a,-3,ilo,597
a,-3,kin,524
a,-3,kama,519
a,-3,lili,514
a,-3,kepeken,513
a,-3,pali,438
a,-3,taso,415
a,-3,sama,397
a,-3,suli,379
a,-3,la,377
a,-3,pakala,366
a,-3,lape,366
a,-3,anu,358
a,-3,lukin,314
a,-3,tan,297
a,-3,sin,280
a,-3,jan,276
a,-3,mu,268
a,-3,ken,262
a,-3,tu,261
a,-3,suwi,260
a,-3,wile,233
a,-3,wawa,223
a,-3,sitelen,221
a,-3,ante,193
a,-3,lawa,181
a,-3,wan,130
a,-3,soweli,124
a,-3,pana,121
a,-3,nanpa,114
a,-3,nimi,94
a,-3,kalama,89
a,-3,weka,85
a,-3,yeah,82
a,-3,pini,81
a,-3,moku,76
a,-3,jaki,74
a,-3,sike,69
a,-3,inli,65
a,-3,monsuta,64
a,-3,moli,61
a,-3,unpa,59
a,-3,p,57
a,-3,ma,57
a,-3,mama,46
a,-3,awen,44
a,-3,wa,41
a,-3,tomo,40
a,-3,utala,40
a,-2,a,86588
a,-2,li,27261
a,-2,kama,15103
a,-2,pona,11696
a,-2,mi,9670
a,-2,toki,6608
a,-2,tawa,6332
a,-2,sina,5828
a,-2,e,5816
a,-2,o,5099
a,-2,lon,4125
a,-2,sona,3519
a,-2,tenpo,3482
a,-2,mute,3211
a,-2,pilin,3090
a,-2,musi,2714
a,-2,ala,2665
a,-2,ni,2532
a,-2,lape,2393
a,-2,ike,2161
